BGC	UMAP001	UMAP002
BGC0000152	9.929406	12.494279
BGC0000153	13.898418	10.827468
BGC0000154	12.237363	12.120162
BGC0000156	11.420639	13.179358
BGC0000157	13.247291	13.6105385
BGC0000158	13.3624325	12.465044
BGC0000159	13.500319	13.546642
BGC0000160	12.515924	11.84128
BGC0000161	12.220717	12.901033
BGC0000162	12.290977	14.400972
BGC0000163	13.012729	14.352156
BGC0000164	12.333623	13.492235
BGC0000165	13.41116	12.425344
BGC0000166	12.298028	14.551674
BGC0000167	13.473989	14.044724
BGC0000168	12.291381	12.056988
BGC0000170	10.454584	12.459352
BGC0000171	13.415999	13.628431
BGC0000172	13.348827	12.109779
BGC0000173	13.346253	11.649901
BGC0000174	13.454758	11.661245
BGC0000175	12.413405	14.801828
BGC0000176	11.188291	13.734462
BGC0000177	12.203672	13.319348
BGC0000178	13.333439	12.570924
BGC0000179	12.15321	13.019193
BGC0000180	13.942448	12.060354
BGC0000181	11.232439	13.820929
BGC0000182	12.574013	11.822911
BGC0000184	13.308973	11.827704
BGC0000185	13.091499	13.338407
BGC0000186	17.495611	7.62014
BGC0000187	16.462355	8.926526
BGC0000188	6.0445685	1.8629516
BGC0000189	11.305272	13.938987
BGC0000190	11.053131	14.431469
BGC0000191	11.291869	15.625662
BGC0000192	10.716958	15.254152
BGC0000193	2.0028381	1.4350607
BGC0000194	10.753824	15.130553
BGC0000195	10.643542	15.221138
BGC0000196	11.181492	13.9853945
BGC0000197	12.2894125	15.940739
BGC0000198	12.4958315	16.142149
BGC0000199	12.36114	16.067423
BGC0000200	12.524189	16.094206
BGC0000201	12.23535	15.996783
BGC0000202	11.596055	15.3665905
BGC0000203	11.797398	15.315828
BGC0000204	10.957811	15.383661
BGC0000205	12.30608	13.511104
BGC0000207	4.0672197	1.3271469
BGC0000208	11.129978	15.49142
BGC0000209	11.223529	15.313344
BGC0000210	12.660919	16.101933
BGC0000211	12.095232	15.187132
BGC0000212	12.019307	15.942567
BGC0000213	12.689719	10.414011
BGC0000214	12.358772	13.889126
BGC0000215	11.542498	15.3582945
BGC0000216	11.91751	15.777418
BGC0000217	12.969518	13.7690935
BGC0000218	10.734565	15.283244
BGC0000219	12.792919	15.082359
BGC0000220	10.963768	14.51944
BGC0000221	10.626849	15.178522
BGC0000222	12.277609	15.929745
BGC0000223	11.150436	15.226442
BGC0000224	11.070073	14.391299
BGC0000225	10.678266	15.198204
BGC0000226	12.613287	13.733522
BGC0000227	12.685194	15.465137
BGC0000229	12.482471	15.90763
BGC0000230	11.209087	15.295469
BGC0000231	10.966918	15.346484
BGC0000232	11.161738	15.228055
BGC0000233	12.875691	14.712767
BGC0000234	10.8894415	15.366362
BGC0000235	11.387881	15.236102
BGC0000236	10.694803	15.267301
BGC0000237	11.901034	15.137631
BGC0000238	12.64436	14.223304
BGC0000239	12.623184	16.06251
BGC0000240	12.422756	15.980005
BGC0000241	12.424817	15.84721
BGC0000242	11.233801	15.48686
BGC0000243	11.492556	13.844089
BGC0000244	4.949431	2.0910037
BGC0000245	12.090744	15.960227
BGC0000247	12.60121	16.10243
BGC0000248	10.7888975	15.225017
BGC0000249	2.5192146	1.5398041
BGC0000252	10.39139	13.002485
BGC0000253	11.195965	15.503118
BGC0000254	10.913673	15.292719
BGC0000255	12.17553	13.213571
BGC0000256	12.217278	15.14099
BGC0000257	12.450377	13.732513
BGC0000258	11.9602585	13.26277
BGC0000259	11.865295	13.472464
BGC0000260	10.901979	13.2475195
BGC0000261	10.992673	14.553923
BGC0000262	12.661347	16.081015
BGC0000263	12.171538	15.120065
BGC0000264	12.273427	13.686327
BGC0000265	2.0659513	1.4061838
BGC0000266	10.989858	14.561568
BGC0000267	12.661759	16.111427
BGC0000268	12.624678	16.107979
BGC0000269	12.600475	16.056204
BGC0000270	13.168554	11.367926
BGC0000271	11.72626	15.321388
BGC0000272	12.312153	13.8467
BGC0000273	12.5412035	16.07002
BGC0000274	11.695552	15.305096
BGC0000275	11.884949	14.877039
BGC0000277	2.2031114	1.3484111
BGC0000278	2.124356	1.3919169
BGC0000279	11.079331	15.501176
BGC0000280	11.166915	13.901168
BGC0000281	11.229085	13.930327
BGC0000282	11.036466	13.993644
BGC0000283	3.540641	1.506605
BGC0000284	3.9256845	0.9923446
BGC0000285	11.1852665	14.129804
BGC0000286	9.395904	12.424394
BGC0000287	14.071431	-2.897332
BGC0000288	11.217999	-3.1895025
BGC0000289	10.8369	-3.691914
BGC0000290	11.138742	-3.5885231
BGC0000291	11.477239	-3.7896132
BGC0000292	10.909102	-1.3874528
BGC0000293	10.993791	-1.6658593
BGC0000294	11.810221	-2.7311807
BGC0000295	9.603433	-1.7940772
BGC0000296	12.720491	-3.7006736
BGC0000297	16.575356	6.702509
BGC0000298	14.061098	-2.9161985
BGC0000300	12.65663	-3.5119188
BGC0000301	12.862626	-2.348418
BGC0000302	13.047584	-2.3079867
BGC0000303	11.036638	-2.8397973
BGC0000304	10.276	-1.0574099
BGC0000305	13.405577	-2.8643053
BGC0000306	12.055526	-3.7084973
BGC0000307	10.49649	-1.8541089
BGC0000308	11.897076	-3.6549532
BGC0000309	12.168376	-2.4244392
BGC0000310	12.512799	-2.5479088
BGC0000311	10.888036	-3.7695053
BGC0000312	10.332582	-1.0764642
BGC0000313	11.105928	-1.9115175
BGC0000314	16.121271	6.9235983
BGC0000315	12.30588	-3.5509706
BGC0000316	11.852689	-3.749013
BGC0000319	11.834953	-3.2099342
BGC0000320	15.833083	7.4811597
BGC0000321	11.092658	-2.11802
BGC0000322	11.949851	-2.658404
BGC0000323	12.891436	-3.008572
BGC0000324	12.551244	-3.5939758
BGC0000325	11.512957	-2.0882304
BGC0000326	13.197082	-2.6303298
BGC0000327	11.738046	-2.791907
BGC0000328	10.954873	-2.5985944
BGC0000329	12.482629	-2.6880963
BGC0000330	12.909547	-2.4887211
BGC0000331	12.5142145	-2.6716678
BGC0000332	12.24204	-2.1839726
BGC0000333	12.58791	-3.705653
BGC0000334	16.302252	7.006037
BGC0000335	17.366844	7.3205066
BGC0000336	11.490204	-3.7461388
BGC0000337	10.329209	-0.9985467
BGC0000339	12.014753	-3.072772
BGC0000340	10.603894	-3.4234025
BGC0000341	11.740562	-3.4243584
BGC0000342	10.4334345	-1.6522007
BGC0000343	12.448205	-2.3544333
BGC0000344	12.928249	-3.3289518
BGC0000345	17.074621	9.208195
BGC0000346	17.088127	9.240268
BGC0000347	11.830429	-3.2937415
BGC0000348	10.454605	-1.7335079
BGC0000349	12.953818	-3.5807183
BGC0000350	11.323631	-2.565619
BGC0000351	11.741015	-3.3668623
BGC0000352	11.957957	-2.6950111
BGC0000353	13.687681	-3.1042316
BGC0000354	12.540557	-3.567619
BGC0000355	12.128808	-2.227284
BGC0000356	9.986897	-0.77254033
BGC0000357	11.120056	-1.7627321
BGC0000359	12.246603	-3.7382889
BGC0000360	13.710787	-3.1215618
BGC0000362	11.692347	-3.65923
BGC0000363	11.342088	-3.5608146
BGC0000364	11.315127	-3.4115994
BGC0000365	16.885546	8.193982
BGC0000366	12.506145	-3.6230478
BGC0000367	13.051092	-3.1628442
BGC0000368	12.223449	-3.6805272
BGC0000369	12.208294	-2.3663878
BGC0000371	11.653916	-3.5806386
BGC0000372	10.847774	-1.5061866
BGC0000373	12.461403	-3.5657847
BGC0000374	12.827646	-3.6147273
BGC0000375	11.606868	-3.0530334
BGC0000376	13.6602125	-2.6686594
BGC0000377	12.19571	-2.8316386
BGC0000378	11.859237	-3.294955
BGC0000379	12.1508045	-3.6743698
BGC0000380	16.51273	9.062232
BGC0000381	11.836678	-2.7050068
BGC0000382	11.021765	-1.6216301
BGC0000383	16.632404	7.6877656
BGC0000384	10.718624	-1.3931947
BGC0000385	13.46179	-2.755475
BGC0000386	13.15376	-2.5214496
BGC0000387	3.5602467	2.0613604
BGC0000388	12.258309	-3.1662161
BGC0000391	12.592736	-2.9940138
BGC0000392	12.539782	-3.4938183
BGC0000393	12.534054	-2.446257
BGC0000394	12.210799	-3.2757347
BGC0000395	13.042484	-2.4310336
BGC0000396	13.308333	-2.517406
BGC0000397	12.253096	-2.419546
BGC0000398	13.506525	-2.7831814
BGC0000399	13.19543	-3.1683629
BGC0000400	13.281931	-2.6522799
BGC0000401	13.479807	-2.7081127
BGC0000402	16.512468	6.7598343
BGC0000403	11.751853	-2.788604
BGC0000404	11.029391	-1.6116639
BGC0000405	10.9786415	-1.445437
BGC0000406	13.163616	-3.4557557
BGC0000407	12.582296	-2.4400918
BGC0000408	12.833036	-2.5788045
BGC0000409	11.392489	-1.9231262
BGC0000410	12.179909	-2.281712
BGC0000411	13.126417	-2.3871143
BGC0000412	13.582523	-3.2529194
BGC0000413	12.800831	-3.3214943
BGC0000414	11.002519	-1.460554
BGC0000415	11.786967	-3.0876746
BGC0000416	12.298401	-2.4065864
BGC0000417	11.522192	-3.815127
BGC0000418	10.680266	-3.7742112
BGC0000419	10.716897	-3.7682521
BGC0000420	10.672527	-1.2081279
BGC0000421	13.1533	-2.490154
BGC0000422	12.546647	-3.6878464
BGC0000423	12.888165	-3.6778913
BGC0000424	11.288122	-2.3853285
BGC0000425	13.050683	-2.966736
BGC0000426	13.485034	-2.634992
BGC0000427	10.441343	-2.3643594
BGC0000428	11.355982	-3.874494
BGC0000429	14.037543	-2.932084
BGC0000430	17.068647	6.975174
BGC0000431	12.231883	-3.6658728
BGC0000432	12.717851	-3.7451072
BGC0000433	11.844208	-2.6014628
BGC0000434	12.467058	-3.3069084
BGC0000435	13.0786085	-3.2332566
BGC0000436	12.896375	-2.60176
BGC0000437	13.6202135	-3.0069213
BGC0000438	12.988283	-2.8933694
BGC0000439	11.6024065	-3.8149054
BGC0000440	11.147997	-3.7481334
BGC0000441	11.195872	-3.78215
BGC0000442	9.817423	-1.7865566
BGC0000443	11.984559	-2.8263836
BGC0000444	11.509949	-1.9080663
BGC0000445	11.868168	-3.6801507
BGC0000446	11.375437	-2.8212488
BGC0000447	13.114236	-3.273743
BGC0000448	12.307765	-2.952354
BGC0000449	11.672806	-2.8860078
BGC0000450	12.684131	-3.535272
BGC0000451	11.22864	-2.4611068
BGC0000452	12.045339	-2.266389
BGC0000453	10.563778	-3.6078117
BGC0000454	11.190422	-1.7504725
BGC0000455	11.074232	-3.706228
BGC0000457	11.16872	-2.6601224
BGC0000458	11.83951	-3.7490823
BGC0000459	16.879087	9.199343
BGC0000460	11.209803	-2.415018
BGC0000461	13.408441	-3.0699577
BGC0000464	13.28244	-2.4868617
BGC0000465	12.47796	-2.2771442
BGC0000466	9.787675	-1.7232974
BGC0000467	14.687566	10.494779
BGC0000468	-2.1307466	9.761865
BGC0000469	-2.630543	10.390038
BGC0000470	-2.4358234	10.212814
BGC0000471	-2.46401	10.759857
BGC0000472	-2.2180948	9.788539
BGC0000473	-3.9807715	11.348901
BGC0000474	-2.472626	11.05446
BGC0000475	-2.2648265	10.114595
BGC0000476	-2.9621387	10.732914
BGC0000477	-2.4150944	11.595881
BGC0000478	-3.4996228	11.831187
BGC0000479	-2.8216732	10.668024
BGC0000480	-2.996618	11.801808
BGC0000481	-1.5975806	9.491483
BGC0000482	-3.118337	11.408173
BGC0000483	-1.3141737	8.484045
BGC0000484	-2.8246806	11.626539
BGC0000485	2.5604525	2.7419734
BGC0000486	-1.4637941	9.521273
BGC0000487	-1.5720032	9.6704
BGC0000488	-1.91252	9.85618
BGC0000489	-1.9760177	10.311252
BGC0000490	-2.1679718	10.423356
BGC0000491	-2.2537348	10.825454
BGC0000492	-1.5183843	9.386088
BGC0000493	-1.4935943	9.606014
BGC0000494	-1.6554725	9.653006
BGC0000495	-2.2932572	11.280349
BGC0000496	-2.4009016	10.582532
BGC0000497	-2.9197333	11.779658
BGC0000498	-3.1838639	11.243988
BGC0000499	-3.0084295	10.966928
BGC0000500	-3.9134622	11.53967
BGC0000501	-3.1685781	11.799445
BGC0000502	-2.8291135	10.710562
BGC0000503	-2.5268784	11.196535
BGC0000504	-3.9292912	11.870568
BGC0000505	-2.3500845	10.561189
BGC0000506	-2.7364087	11.562919
BGC0000507	-2.5901225	11.204098
BGC0000508	-2.8905993	11.467112
BGC0000509	-3.710395	11.610034
BGC0000510	-2.4926052	10.465094
BGC0000511	-2.7268307	11.444573
BGC0000513	-2.4828892	11.205972
BGC0000514	-3.2423158	11.628974
BGC0000515	-3.5944636	12.119021
BGC0000516	-2.9356756	11.690762
BGC0000517	-2.5543563	11.232383
BGC0000518	-2.5554461	11.15403
BGC0000519	-3.7638965	12.279742
BGC0000520	-3.0151298	11.693174
BGC0000521	-3.7054715	11.497664
BGC0000522	-2.3681216	11.282758
BGC0000523	-1.6585505	9.597898
BGC0000525	-3.2097325	11.802097
BGC0000526	-3.848222	11.552252
BGC0000527	-2.9655669	10.817823
BGC0000528	-2.5150666	10.526891
BGC0000529	-3.8515346	11.042934
BGC0000530	-3.7803016	11.950144
BGC0000531	-3.7995756	12.061798
BGC0000532	-3.7600698	11.9672575
BGC0000533	-3.616169	11.990339
BGC0000534	-3.9370117	11.443135
BGC0000535	-3.0052543	11.81996
BGC0000536	-3.6627586	11.982732
BGC0000537	-3.7440825	12.024996
BGC0000538	-3.724312	12.156038
BGC0000539	-2.961235	11.745623
BGC0000540	-3.3111088	11.927615
BGC0000541	-3.7259657	12.159569
BGC0000542	-3.5711498	12.0972
BGC0000543	-2.5170352	10.90083
BGC0000544	-3.7908826	12.328414
BGC0000545	-2.2312686	10.613662
BGC0000546	-3.162751	11.746109
BGC0000547	-3.806739	11.450927
BGC0000548	-3.7338614	11.719334
BGC0000549	-2.577527	11.278628
BGC0000550	-3.7005904	11.4277315
BGC0000551	-2.6453636	11.146047
BGC0000552	-2.7659342	11.735838
BGC0000553	-1.939504	9.671386
BGC0000554	-3.7791338	11.295697
BGC0000555	-3.8125062	11.995519
BGC0000556	-2.6045218	11.283314
BGC0000557	-3.662746	11.532854
BGC0000558	-2.1083634	9.779156
BGC0000559	-3.5869815	12.073677
BGC0000560	-3.4543157	11.556429
BGC0000561	-3.5350842	11.509915
BGC0000562	-3.1503577	11.603906
BGC0000563	-2.4092894	11.043533
BGC0000564	-2.8774822	11.5506935
BGC0000565	-3.1379247	10.933675
BGC0000566	-3.8241143	12.03916
BGC0000567	-1.573965	9.2406845
BGC0000568	-1.9547466	9.902054
BGC0000569	-2.0197322	9.933943
BGC0000570	-1.5967597	9.555863
BGC0000571	-2.7508128	11.301054
BGC0000572	-2.3177972	11.142175
BGC0000573	-2.9560487	11.783731
BGC0000574	-2.3078315	10.660037
BGC0000575	-3.341506	11.8562975
BGC0000576	-2.9869733	11.422376
BGC0000577	-3.416537	11.837123
BGC0000578	-2.3409584	10.523439
BGC0000579	-3.7309139	12.436318
BGC0000580	-3.7358458	11.520532
BGC0000581	-1.4666328	9.398404
BGC0000582	-3.3336804	11.86558
BGC0000583	-1.522373	9.331139
BGC0000584	-1.7483941	9.383864
BGC0000585	-1.2982421	8.459519
BGC0000586	-2.439636	10.818426
BGC0000587	-2.4145882	10.464744
BGC0000588	-1.6198072	9.314702
BGC0000589	-2.4234087	10.724566
BGC0000590	-1.6610649	9.176624
BGC0000591	-2.1833177	9.978377
BGC0000592	-1.6104423	9.504583
BGC0000593	-1.7068728	9.518714
BGC0000594	-3.6661055	11.338291
BGC0000595	-1.2709162	8.401512
BGC0000596	-1.4700304	8.844182
BGC0000597	-1.2601318	8.414328
BGC0000598	-2.187352	10.57099
BGC0000599	-2.982202	11.394234
BGC0000600	-2.5315137	11.12705
BGC0000601	-1.3542393	8.600617
BGC0000602	-1.8848784	9.589842
BGC0000603	-3.9889355	11.093735
BGC0000604	-3.6567512	11.168394
BGC0000605	-3.4949534	11.49731
BGC0000606	-1.8686477	9.54278
BGC0000607	-4.020353	11.1356945
BGC0000608	-3.946858	11.077052
BGC0000609	-3.4649184	11.546543
BGC0000610	-3.6447117	11.002073
BGC0000611	-3.9287655	11.059173
BGC0000612	-4.038856	11.284314
BGC0000613	-3.8580902	11.483095
BGC0000614	-2.4175692	10.420201
BGC0000615	-4.01042	11.082209
BGC0000616	-1.5251545	9.315428
BGC0000617	-1.6365911	9.182613
BGC0000618	-1.4835591	8.899223
BGC0000619	-1.7402335	9.779228
BGC0000620	-2.3636565	11.464465
BGC0000621	-1.3022821	8.628089
BGC0000622	-1.2545886	8.404121
BGC0000623	-3.0435839	11.041007
BGC0000624	-1.5947235	9.405138
BGC0000625	-2.5439436	10.902692
BGC0000626	-2.9395792	11.502599
BGC0000627	-2.7146351	10.648796
BGC0000628	-4.0409064	11.291874
BGC0000630	8.448364	5.616484
BGC0000631	8.055326	6.027013
BGC0000632	8.391134	6.1378565
BGC0000633	8.132103	6.267185
BGC0000634	9.139711	6.125495
BGC0000635	9.107043	6.096327
BGC0000636	8.083933	5.637563
BGC0000637	8.206732	5.7124453
BGC0000638	8.390941	5.548845
BGC0000639	8.500914	5.494111
BGC0000640	8.999725	6.3463197
BGC0000641	8.489639	5.4808974
BGC0000642	8.568525	5.5676527
BGC0000643	9.088043	6.096977
BGC0000644	8.511889	6.4495435
BGC0000645	8.508363	5.500946
BGC0000646	8.341731	5.64614
BGC0000647	8.512276	5.559974
BGC0000648	8.927645	6.2540665
BGC0000649	8.809259	6.311158
BGC0000650	4.6247573	2.5243244
BGC0000651	9.060841	6.729725
BGC0000652	9.377438	12.333994
BGC0000653	8.133878	5.8227434
BGC0000654	8.332941	5.993082
BGC0000656	8.991833	6.158215
BGC0000657	8.446784	5.5990863
BGC0000658	8.35928	5.673719
BGC0000659	4.428143	2.7277598
BGC0000660	8.440988	5.5396476
BGC0000661	9.125707	6.107735
BGC0000662	8.138253	5.698872
BGC0000663	9.045067	6.7205515
BGC0000664	8.137975	6.255537
BGC0000665	6.2882867	2.041285
BGC0000666	6.2151446	2.0330796
BGC0000667	9.119845	6.1628923
BGC0000668	6.279852	2.0473027
BGC0000669	9.050192	6.708867
BGC0000670	8.32966	6.342397
BGC0000671	9.057078	6.723431
BGC0000672	9.015691	6.7202563
BGC0000673	4.462655	2.6566
BGC0000674	8.271726	6.528305
BGC0000675	8.22828	6.118543
BGC0000676	8.915864	6.853103
BGC0000677	8.3204155	5.833776
BGC0000678	8.505285	6.3864775
BGC0000679	8.945	5.993039
BGC0000682	9.396356	12.405067
BGC0000683	8.481764	5.5466557
BGC0000684	9.786077	12.695235
BGC0000685	8.550318	6.0113935
BGC0000686	8.6965275	6.859298
BGC0000687	8.782107	6.7354336
BGC0000688	9.0449915	6.710517
BGC0000689	0.22619443	1.6979486
BGC0000690	0.28630874	1.2858328
BGC0000691	0.60952365	2.1261253
BGC0000692	0.047185466	1.2590199
BGC0000693	0.44447812	2.0780594
BGC0000694	0.70066416	2.1496685
BGC0000695	0.15911604	1.5443374
BGC0000696	-0.052077796	1.3764229
BGC0000698	1.6813483	1.5245904
BGC0000699	0.42351314	1.9520677
BGC0000700	0.5142479	2.21466
BGC0000701	0.64757085	1.7775085
BGC0000702	-0.64503855	1.390537
BGC0000703	-0.584082	1.3475982
BGC0000704	-0.6502721	1.2682111
BGC0000705	-0.67812127	1.4006155
BGC0000706	-0.07842366	1.3066818
BGC0000707	0.27539644	1.5551769
BGC0000708	-0.48313537	1.2709693
BGC0000709	-0.042510577	1.3153702
BGC0000711	-0.35788965	1.283921
BGC0000712	0.10652546	1.4300992
BGC0000713	-0.64949024	1.3075036
BGC0000714	-0.54927796	1.2826797
BGC0000715	0.50745267	1.4239447
BGC0000716	0.24063738	1.6187929
BGC0000719	-0.5764006	1.2666656
BGC0000720	0.21433787	1.9786012
BGC0000721	-0.5418742	1.3798271
BGC0000722	0.7228203	1.7001369
BGC0000723	0.6382489	1.6895751
BGC0000724	0.08069182	1.2459147
BGC0000725	0.6029611	2.1038332
BGC0000727	0.032008167	1.909505
BGC0000728	-0.6819463	1.285323
BGC0000729	-0.6651032	1.3140926
BGC0000730	0.261302	2.0584018
BGC0000731	0.048263043	1.9967213
BGC0000732	0.3350831	1.7894287
BGC0000733	-0.05472488	2.022935
BGC0000734	-0.6223031	1.5208019
BGC0000735	0.3910516	2.1537955
BGC0000736	-0.07186025	1.9928714
BGC0000737	-0.158689	1.7485504
BGC0000738	-0.16947451	1.7925727
BGC0000739	-0.050213795	2.0247853
BGC0000740	-0.5917841	1.412528
BGC0000741	-0.67147046	1.3840579
BGC0000742	0.137622	1.6882262
BGC0000743	0.028822545	2.0394585
BGC0000744	-0.69699305	1.2849795
BGC0000745	-0.69920075	1.3040289
BGC0000746	-0.5512727	1.3616295
BGC0000747	-0.6398886	1.3485974
BGC0000748	-0.71359175	1.276616
BGC0000749	1.1790197	2.219285
BGC0000751	-0.34375474	1.5802523
BGC0000752	-0.30999908	1.620156
BGC0000753	0.44910267	1.8683095
BGC0000754	0.3376594	2.0287306
BGC0000755	0.15576027	1.9587767
BGC0000756	-0.18954614	1.7734431
BGC0000757	-0.26771092	1.783171
BGC0000758	-0.2612995	1.5945922
BGC0000759	-0.08371799	1.8346174
BGC0000760	0.0047675148	2.0458899
BGC0000761	0.3824692	1.8148539
BGC0000762	-0.64247495	1.5595387
BGC0000763	-0.16517523	1.8318074
BGC0000764	-0.37114534	1.7505836
BGC0000765	-0.38416737	1.3997436
BGC0000766	-0.5522833	1.2738883
BGC0000767	-0.6284917	1.334286
BGC0000768	0.14659357	2.0904262
BGC0000769	-0.008512343	1.5698557
BGC0000770	-0.6597368	1.4020677
BGC0000772	-0.6664661	1.494093
BGC0000773	-0.11091611	1.7718151
BGC0000774	0.861145	1.8713988
BGC0000775	-0.1978807	1.676774
BGC0000776	-0.059777	1.9724693
BGC0000777	-0.047291853	2.0356784
BGC0000778	1.1216719	2.155924
BGC0000779	0.58944046	2.1023326
BGC0000780	-0.10460551	1.5190562
BGC0000781	0.47047493	1.3931535
BGC0000782	0.19053221	1.5074524
BGC0000783	0.568737	2.1856036
BGC0000784	0.0039778217	2.034286
BGC0000785	-0.033515103	1.4107727
BGC0000786	-0.41385305	1.5622605
BGC0000787	-0.3908654	1.4483066
BGC0000788	-0.28337613	1.3831117
BGC0000789	-0.39774433	1.666411
BGC0000790	-0.49916908	1.443199
BGC0000791	-0.43316546	1.484063
BGC0000792	0.51740265	1.8351353
BGC0000793	0.47094378	1.7631035
BGC0000794	-0.5136921	1.4573977
BGC0000795	-0.06479872	2.0140383
BGC0000796	0.23370418	2.0904827
BGC0000797	0.15006778	2.1045709
BGC0000798	4.5942187	2.640276
BGC0000799	-0.06838218	2.0437782
BGC0000800	0.24188355	1.9827701
BGC0000801	0.5840336	1.6680856
BGC0000802	-1.1761609	8.282595
BGC0000803	-0.49783704	1.6914643
BGC0000804	0.25744757	1.2892066
BGC0000806	-0.16609502	1.7190471
BGC0000807	-0.16552506	1.914694
BGC0000809	5.063619	1.9556166
BGC0000810	4.6336207	2.527859
BGC0000811	6.238826	2.0282161
BGC0000812	5.7002215	2.1780844
BGC0000813	6.1956825	1.6926626
