definition	BGC	k	positive_neighbors	precision_at_k
any_saccharide	BGC0000716	10	10	1.0
any_saccharide	BGC0000719	10	10	1.0
any_saccharide	BGC0000720	10	10	1.0
any_saccharide	BGC0000721	10	10	1.0
any_saccharide	BGC0000722	10	9	0.9
any_saccharide	BGC0000723	10	9	0.9
any_saccharide	BGC0000724	10	10	1.0
any_saccharide	BGC0000725	10	10	1.0
any_saccharide	BGC0000727	10	10	1.0
any_saccharide	BGC0000728	10	10	1.0
any_saccharide	BGC0000729	10	10	1.0
any_saccharide	BGC0000730	10	10	1.0
any_saccharide	BGC0000731	10	10	1.0
any_saccharide	BGC0000732	10	10	1.0
any_saccharide	BGC0000733	10	10	1.0
any_saccharide	BGC0000734	10	10	1.0
any_saccharide	BGC0000735	10	10	1.0
any_saccharide	BGC0000736	10	10	1.0
any_saccharide	BGC0000737	10	10	1.0
any_saccharide	BGC0000738	10	10	1.0
any_saccharide	BGC0000739	10	10	1.0
any_saccharide	BGC0000740	10	10	1.0
any_saccharide	BGC0000741	10	10	1.0
any_saccharide	BGC0000742	10	10	1.0
any_saccharide	BGC0000743	10	10	1.0
any_saccharide	BGC0000744	10	10	1.0
any_saccharide	BGC0000745	10	10	1.0
any_saccharide	BGC0000746	10	10	1.0
any_saccharide	BGC0000747	10	10	1.0
any_saccharide	BGC0000748	10	10	1.0
any_saccharide	BGC0000749	10	7	0.7
any_saccharide	BGC0000751	10	10	1.0
any_saccharide	BGC0000752	10	10	1.0
any_saccharide	BGC0000753	10	10	1.0
any_saccharide	BGC0000754	10	10	1.0
any_saccharide	BGC0000755	10	10	1.0
any_saccharide	BGC0000756	10	10	1.0
any_saccharide	BGC0000757	10	10	1.0
any_saccharide	BGC0000758	10	10	1.0
any_saccharide	BGC0000759	10	10	1.0
any_saccharide	BGC0000760	10	10	1.0
any_saccharide	BGC0000761	10	10	1.0
any_saccharide	BGC0000762	10	10	1.0
any_saccharide	BGC0000763	10	10	1.0
any_saccharide	BGC0000764	10	10	1.0
any_saccharide	BGC0000765	10	10	1.0
any_saccharide	BGC0000766	10	10	1.0
any_saccharide	BGC0000767	10	10	1.0
any_saccharide	BGC0000768	10	10	1.0
any_saccharide	BGC0000769	10	10	1.0
any_saccharide	BGC0000770	10	10	1.0
any_saccharide	BGC0000772	10	10	1.0
any_saccharide	BGC0000773	10	10	1.0
any_saccharide	BGC0000774	10	10	1.0
any_saccharide	BGC0000775	10	10	1.0
any_saccharide	BGC0000776	10	10	1.0
any_saccharide	BGC0000777	10	10	1.0
any_saccharide	BGC0000778	10	8	0.8
any_saccharide	BGC0000779	10	10	1.0
any_saccharide	BGC0000780	10	10	1.0
any_saccharide	BGC0000781	10	8	0.8
any_saccharide	BGC0000782	10	10	1.0
any_saccharide	BGC0000783	10	10	1.0
any_saccharide	BGC0000784	10	10	1.0
any_saccharide	BGC0000785	10	10	1.0
any_saccharide	BGC0000786	10	10	1.0
any_saccharide	BGC0000787	10	10	1.0
any_saccharide	BGC0000788	10	10	1.0
any_saccharide	BGC0000789	10	10	1.0
any_saccharide	BGC0000790	10	10	1.0
any_saccharide	BGC0000791	10	10	1.0
any_saccharide	BGC0000792	10	10	1.0
any_saccharide	BGC0000793	10	10	1.0
any_saccharide	BGC0000794	10	10	1.0
any_saccharide	BGC0000795	10	10	1.0
any_saccharide	BGC0000796	10	10	1.0
any_saccharide	BGC0000797	10	10	1.0
any_saccharide	BGC0000798	10	1	0.1
any_saccharide	BGC0000799	10	10	1.0
any_saccharide	BGC0000800	10	10	1.0
any_saccharide	BGC0000801	10	9	0.9
any_saccharide	BGC0000802	10	1	0.1
any_saccharide	BGC0000803	10	10	1.0
any_saccharide	BGC0000804	10	9	0.9
any_saccharide	BGC0000806	10	10	1.0
any_saccharide	BGC0000807	10	10	1.0
any_saccharide	BGC0000832	10	10	1.0
any_saccharide	BGC0000833	10	3	0.3
any_saccharide	BGC0000834	10	10	1.0
any_saccharide	BGC0000875	10	6	0.6
any_saccharide	BGC0000898	10	10	1.0
any_saccharide	BGC0000899	10	10	1.0
any_saccharide	BGC0000953	10	10	1.0
any_saccharide	BGC0000963	10	3	0.3
any_saccharide	BGC0001003	10	2	0.2
any_saccharide	BGC0001046	10	3	0.3
any_saccharide	BGC0001048	10	0	0.0
any_saccharide	BGC0001058	10	5	0.5
any_saccharide	BGC0001061	10	3	0.3
any_saccharide	BGC0001072	10	0	0.0
any_saccharide	BGC0001074	10	6	0.6
any_saccharide	BGC0001149	10	0	0.0
any_saccharide	BGC0001380	10	10	1.0
any_saccharide	BGC0001410	10	10	1.0
any_saccharide	BGC0001411	10	10	1.0
any_saccharide	BGC0001412	10	10	1.0
any_saccharide	BGC0001438	10	4	0.4
any_saccharide	BGC0001439	10	6	0.6
any_saccharide	BGC0001586	10	10	1.0
any_saccharide	BGC0001588	10	10	1.0
any_saccharide	BGC0001589	10	9	0.9
any_saccharide	BGC0001603	10	10	1.0
any_saccharide	BGC0001654	10	10	1.0
any_saccharide	BGC0001765	10	10	1.0
any_saccharide	BGC0001846	10	2	0.2
any_saccharide	BGC0001851	10	9	0.9
any_saccharide	BGC0001852	10	8	0.8
any_saccharide	BGC0001894	10	10	1.0
any_saccharide	BGC0001947	10	10	1.0
any_saccharide	BGC0002020	10	7	0.7
any_saccharide	BGC0002054	10	1	0.1
any_saccharide	BGC0002085	10	4	0.4
any_saccharide	BGC0002088	10	6	0.6
any_saccharide	BGC0002097	10	4	0.4
any_saccharide	BGC0002131	10	0	0.0
any_saccharide	BGC0002173	10	0	0.0
any_saccharide	BGC0002295	10	1	0.1
any_saccharide	BGC0002302	10	10	1.0
any_saccharide	BGC0002349	10	1	0.1
any_saccharide	BGC0002350	10	5	0.5
any_saccharide	BGC0002361	10	9	0.9
any_saccharide	BGC0002405	10	0	0.0
any_saccharide	BGC0002407	10	0	0.0
any_saccharide	BGC0002430	10	0	0.0
any_saccharide	BGC0002431	10	1	0.1
any_saccharide	BGC0002462	10	10	1.0
any_saccharide	BGC0002479	10	0	0.0
any_saccharide	BGC0002652	10	9	0.9
any_saccharide	BGC0002721	10	1	0.1
any_saccharide	BGC0002722	10	1	0.1
any_saccharide	BGC0000026	20	5	0.25
any_saccharide	BGC0000036	20	5	0.25
any_saccharide	BGC0000055	20	1	0.05
any_saccharide	BGC0000094	20	2	0.1
any_saccharide	BGC0000115	20	1	0.05
any_saccharide	BGC0000119	20	2	0.1
any_saccharide	BGC0000151	20	1	0.05
any_saccharide	BGC0000197	20	9	0.45
any_saccharide	BGC0000198	20	13	0.65
any_saccharide	BGC0000199	20	10	0.5
any_saccharide	BGC0000200	20	11	0.55
any_saccharide	BGC0000201	20	7	0.35
any_saccharide	BGC0000210	20	17	0.85
any_saccharide	BGC0000219	20	3	0.15
any_saccharide	BGC0000229	20	10	0.5
any_saccharide	BGC0000239	20	16	0.8
any_saccharide	BGC0000240	20	12	0.6
any_saccharide	BGC0000241	20	9	0.45
any_saccharide	BGC0000247	20	17	0.85
any_saccharide	BGC0000262	20	15	0.75
any_saccharide	BGC0000267	20	15	0.75
any_saccharide	BGC0000269	20	16	0.8
any_saccharide	BGC0000273	20	13	0.65
any_saccharide	BGC0000285	20	0	0.0
any_saccharide	BGC0000289	20	2	0.1
any_saccharide	BGC0000297	20	0	0.0
any_saccharide	BGC0000369	20	0	0.0
any_saccharide	BGC0000419	20	2	0.1
any_saccharide	BGC0000632	20	2	0.1
any_saccharide	BGC0000654	20	1	0.05
any_saccharide	BGC0000689	20	20	1.0
any_saccharide	BGC0000690	20	17	0.85
any_saccharide	BGC0000691	20	20	1.0
any_saccharide	BGC0000692	20	20	1.0
any_saccharide	BGC0000693	20	20	1.0
any_saccharide	BGC0000694	20	19	0.95
any_saccharide	BGC0000695	20	20	1.0
any_saccharide	BGC0000696	20	20	1.0
any_saccharide	BGC0000698	20	11	0.55
any_saccharide	BGC0000699	20	20	1.0
any_saccharide	BGC0000700	20	19	0.95
any_saccharide	BGC0000701	20	19	0.95
any_saccharide	BGC0000702	20	20	1.0
any_saccharide	BGC0000703	20	20	1.0
any_saccharide	BGC0000704	20	20	1.0
any_saccharide	BGC0000705	20	20	1.0
any_saccharide	BGC0000706	20	20	1.0
any_saccharide	BGC0000707	20	19	0.95
any_saccharide	BGC0000708	20	20	1.0
any_saccharide	BGC0000709	20	20	1.0
any_saccharide	BGC0000711	20	20	1.0
any_saccharide	BGC0000712	20	16	0.8
any_saccharide	BGC0000713	20	20	1.0
any_saccharide	BGC0000714	20	20	1.0
any_saccharide	BGC0000715	20	19	0.95
any_saccharide	BGC0000716	20	20	1.0
any_saccharide	BGC0000719	20	20	1.0
any_saccharide	BGC0000720	20	20	1.0
any_saccharide	BGC0000721	20	20	1.0
any_saccharide	BGC0000722	20	16	0.8
any_saccharide	BGC0000723	20	19	0.95
any_saccharide	BGC0000724	20	20	1.0
any_saccharide	BGC0000725	20	20	1.0
any_saccharide	BGC0000727	20	19	0.95
any_saccharide	BGC0000728	20	20	1.0
any_saccharide	BGC0000729	20	20	1.0
any_saccharide	BGC0000730	20	20	1.0
any_saccharide	BGC0000731	20	20	1.0
any_saccharide	BGC0000732	20	20	1.0
any_saccharide	BGC0000733	20	20	1.0
any_saccharide	BGC0000734	20	20	1.0
any_saccharide	BGC0000735	20	20	1.0
any_saccharide	BGC0000736	20	20	1.0
any_saccharide	BGC0000737	20	20	1.0
any_saccharide	BGC0000738	20	20	1.0
any_saccharide	BGC0000739	20	20	1.0
any_saccharide	BGC0000740	20	20	1.0
any_saccharide	BGC0000741	20	20	1.0
any_saccharide	BGC0000742	20	20	1.0
any_saccharide	BGC0000743	20	20	1.0
any_saccharide	BGC0000744	20	20	1.0
any_saccharide	BGC0000745	20	20	1.0
any_saccharide	BGC0000746	20	20	1.0
any_saccharide	BGC0000747	20	20	1.0
any_saccharide	BGC0000748	20	20	1.0
any_saccharide	BGC0000749	20	13	0.65
any_saccharide	BGC0000751	20	20	1.0
any_saccharide	BGC0000752	20	20	1.0
any_saccharide	BGC0000753	20	20	1.0
any_saccharide	BGC0000754	20	20	1.0
any_saccharide	BGC0000755	20	20	1.0
any_saccharide	BGC0000756	20	20	1.0
any_saccharide	BGC0000757	20	20	1.0
any_saccharide	BGC0000758	20	20	1.0
any_saccharide	BGC0000759	20	20	1.0
any_saccharide	BGC0000760	20	20	1.0
any_saccharide	BGC0000761	20	20	1.0
any_saccharide	BGC0000762	20	20	1.0
any_saccharide	BGC0000763	20	20	1.0
any_saccharide	BGC0000764	20	20	1.0
any_saccharide	BGC0000765	20	20	1.0
any_saccharide	BGC0000766	20	20	1.0
any_saccharide	BGC0000767	20	20	1.0
any_saccharide	BGC0000768	20	20	1.0
any_saccharide	BGC0000769	20	20	1.0
any_saccharide	BGC0000770	20	20	1.0
any_saccharide	BGC0000772	20	20	1.0
any_saccharide	BGC0000773	20	20	1.0
any_saccharide	BGC0000774	20	18	0.9
any_saccharide	BGC0000775	20	20	1.0
any_saccharide	BGC0000776	20	20	1.0
any_saccharide	BGC0000777	20	20	1.0
any_saccharide	BGC0000778	20	14	0.7
any_saccharide	BGC0000779	20	20	1.0
any_saccharide	BGC0000780	20	20	1.0
any_saccharide	BGC0000781	20	17	0.85
any_saccharide	BGC0000782	20	20	1.0
any_saccharide	BGC0000783	20	20	1.0
any_saccharide	BGC0000784	20	20	1.0
any_saccharide	BGC0000785	20	20	1.0
any_saccharide	BGC0000786	20	20	1.0
any_saccharide	BGC0000787	20	20	1.0
any_saccharide	BGC0000788	20	20	1.0
any_saccharide	BGC0000789	20	20	1.0
any_saccharide	BGC0000790	20	20	1.0
any_saccharide	BGC0000791	20	20	1.0
any_saccharide	BGC0000792	20	20	1.0
any_saccharide	BGC0000793	20	20	1.0
any_saccharide	BGC0000794	20	20	1.0
any_saccharide	BGC0000795	20	20	1.0
any_saccharide	BGC0000796	20	20	1.0
any_saccharide	BGC0000797	20	20	1.0
any_saccharide	BGC0000798	20	1	0.05
any_saccharide	BGC0000799	20	20	1.0
any_saccharide	BGC0000800	20	20	1.0
any_saccharide	BGC0000801	20	19	0.95
any_saccharide	BGC0000802	20	3	0.15
any_saccharide	BGC0000803	20	20	1.0
any_saccharide	BGC0000804	20	18	0.9
any_saccharide	BGC0000806	20	20	1.0
any_saccharide	BGC0000807	20	20	1.0
any_saccharide	BGC0000832	20	20	1.0
any_saccharide	BGC0000833	20	8	0.4
any_saccharide	BGC0000834	20	20	1.0
any_saccharide	BGC0000875	20	12	0.6
any_saccharide	BGC0000898	20	20	1.0
any_saccharide	BGC0000899	20	20	1.0
any_saccharide	BGC0000953	20	20	1.0
any_saccharide	BGC0000963	20	6	0.3
any_saccharide	BGC0001003	20	4	0.2
any_saccharide	BGC0001046	20	4	0.2
any_saccharide	BGC0001048	20	0	0.0
any_saccharide	BGC0001058	20	6	0.3
any_saccharide	BGC0001061	20	3	0.15
any_saccharide	BGC0001072	20	0	0.0
any_saccharide	BGC0001074	20	10	0.5
any_saccharide	BGC0001149	20	0	0.0
any_saccharide	BGC0001380	20	20	1.0
any_saccharide	BGC0001410	20	20	1.0
any_saccharide	BGC0001411	20	20	1.0
any_saccharide	BGC0001412	20	20	1.0
any_saccharide	BGC0001438	20	7	0.35
any_saccharide	BGC0001439	20	13	0.65
any_saccharide	BGC0001586	20	20	1.0
any_saccharide	BGC0001588	20	20	1.0
any_saccharide	BGC0001589	20	19	0.95
any_saccharide	BGC0001603	20	20	1.0
any_saccharide	BGC0001654	20	20	1.0
any_saccharide	BGC0001765	20	20	1.0
any_saccharide	BGC0001846	20	2	0.1
any_saccharide	BGC0001851	20	17	0.85
any_saccharide	BGC0001852	20	15	0.75
any_saccharide	BGC0001894	20	20	1.0
any_saccharide	BGC0001947	20	20	1.0
any_saccharide	BGC0002020	20	13	0.65
any_saccharide	BGC0002054	20	1	0.05
any_saccharide	BGC0002085	20	7	0.35
any_saccharide	BGC0002088	20	10	0.5
any_saccharide	BGC0002097	20	7	0.35
any_saccharide	BGC0002131	20	0	0.0
any_saccharide	BGC0002173	20	0	0.0
any_saccharide	BGC0002295	20	1	0.05
any_saccharide	BGC0002302	20	20	1.0
any_saccharide	BGC0002349	20	2	0.1
any_saccharide	BGC0002350	20	5	0.25
any_saccharide	BGC0002361	20	14	0.7
any_saccharide	BGC0002405	20	1	0.05
any_saccharide	BGC0002407	20	0	0.0
any_saccharide	BGC0002430	20	0	0.0
any_saccharide	BGC0002431	20	2	0.1
any_saccharide	BGC0002462	20	20	1.0
any_saccharide	BGC0002479	20	0	0.0
any_saccharide	BGC0002652	20	19	0.95
any_saccharide	BGC0002721	20	1	0.05
any_saccharide	BGC0002722	20	1	0.05
pure_saccharide	BGC0000026	5	1	0.2
pure_saccharide	BGC0000689	5	5	1.0
pure_saccharide	BGC0000690	5	5	1.0
pure_saccharide	BGC0000691	5	5	1.0
pure_saccharide	BGC0000692	5	5	1.0
pure_saccharide	BGC0000693	5	5	1.0
pure_saccharide	BGC0000694	5	5	1.0
pure_saccharide	BGC0000695	5	3	0.6
pure_saccharide	BGC0000696	5	5	1.0
pure_saccharide	BGC0000698	5	2	0.4
pure_saccharide	BGC0000699	5	5	1.0
pure_saccharide	BGC0000700	5	5	1.0
pure_saccharide	BGC0000701	5	5	1.0
pure_saccharide	BGC0000702	5	5	1.0
pure_saccharide	BGC0000703	5	5	1.0
pure_saccharide	BGC0000704	5	5	1.0
pure_saccharide	BGC0000705	5	5	1.0
pure_saccharide	BGC0000706	5	5	1.0
pure_saccharide	BGC0000707	5	5	1.0
pure_saccharide	BGC0000708	5	5	1.0
pure_saccharide	BGC0000709	5	5	1.0
pure_saccharide	BGC0000711	5	5	1.0
pure_saccharide	BGC0000712	5	1	0.2
pure_saccharide	BGC0000713	5	5	1.0
pure_saccharide	BGC0000714	5	5	1.0
pure_saccharide	BGC0000715	5	4	0.8
pure_saccharide	BGC0000716	5	5	1.0
pure_saccharide	BGC0000719	5	5	1.0
pure_saccharide	BGC0000720	5	5	1.0
pure_saccharide	BGC0000721	5	5	1.0
pure_saccharide	BGC0000724	5	5	1.0
pure_saccharide	BGC0000725	5	5	1.0
pure_saccharide	BGC0000727	5	5	1.0
pure_saccharide	BGC0000728	5	5	1.0
pure_saccharide	BGC0000729	5	5	1.0
pure_saccharide	BGC0000730	5	5	1.0
pure_saccharide	BGC0000731	5	5	1.0
pure_saccharide	BGC0000732	5	5	1.0
pure_saccharide	BGC0000733	5	5	1.0
pure_saccharide	BGC0000734	5	5	1.0
pure_saccharide	BGC0000735	5	5	1.0
pure_saccharide	BGC0000736	5	5	1.0
pure_saccharide	BGC0000737	5	5	1.0
pure_saccharide	BGC0000738	5	5	1.0
pure_saccharide	BGC0000739	5	5	1.0
pure_saccharide	BGC0000740	5	5	1.0
pure_saccharide	BGC0000741	5	5	1.0
