comparison	k	base_BGC	overlap
A vs B	5	BGC0000166	0.20000000000000001
A vs B	5	BGC0000167	0.20000000000000001
A vs B	5	BGC0000168	0
A vs B	5	BGC0000170	0
A vs B	5	BGC0000171	0
A vs B	5	BGC0000172	0
A vs B	5	BGC0000173	0
A vs B	5	BGC0000174	0.20000000000000001
A vs B	5	BGC0000175	0
A vs B	5	BGC0000176	0.40000000000000002
A vs B	5	BGC0000177	0.40000000000000002
A vs B	5	BGC0000178	0.20000000000000001
A vs B	5	BGC0000179	0.40000000000000002
A vs B	5	BGC0000180	0.20000000000000001
A vs B	5	BGC0000181	0.20000000000000001
A vs B	5	BGC0000182	0.59999999999999998
A vs B	5	BGC0000184	0.20000000000000001
A vs B	5	BGC0000185	0.20000000000000001
A vs B	5	BGC0000186	0
A vs B	5	BGC0000187	0.20000000000000001
A vs B	5	BGC0000188	0.20000000000000001
A vs B	5	BGC0000189	0
A vs B	5	BGC0000190	0
A vs B	5	BGC0000191	0.20000000000000001
A vs B	5	BGC0000192	0
A vs B	5	BGC0000193	0.20000000000000001
A vs B	5	BGC0000194	0
A vs B	5	BGC0000195	0.40000000000000002
A vs B	5	BGC0000196	0.20000000000000001
A vs B	5	BGC0000197	0.20000000000000001
A vs B	5	BGC0000198	0.20000000000000001
A vs B	5	BGC0000199	0.20000000000000001
A vs B	5	BGC0000200	0.40000000000000002
A vs B	5	BGC0000201	0.20000000000000001
A vs B	5	BGC0000202	0.20000000000000001
A vs B	5	BGC0000203	0.20000000000000001
A vs B	5	BGC0000204	0.40000000000000002
A vs B	5	BGC0000205	0
A vs B	5	BGC0000207	0
A vs B	5	BGC0000208	0.40000000000000002
A vs B	5	BGC0000209	0.59999999999999998
A vs B	5	BGC0000210	0.59999999999999998
A vs B	5	BGC0000211	0.40000000000000002
A vs B	5	BGC0000212	0.20000000000000001
A vs B	5	BGC0000213	0
A vs B	5	BGC0000214	0.20000000000000001
A vs B	5	BGC0000215	0
A vs B	5	BGC0000216	0.59999999999999998
A vs B	5	BGC0000217	0
A vs B	5	BGC0000218	0.40000000000000002
A vs B	5	BGC0000219	0
A vs B	5	BGC0000220	0
A vs B	5	BGC0000221	0.40000000000000002
A vs B	5	BGC0000222	0.40000000000000002
A vs B	5	BGC0000223	0.40000000000000002
A vs B	5	BGC0000224	0
A vs B	5	BGC0000225	0
A vs B	5	BGC0000226	0
A vs B	5	BGC0000227	0.20000000000000001
A vs B	5	BGC0000229	0.59999999999999998
A vs B	5	BGC0000230	0.20000000000000001
A vs B	5	BGC0000231	0.40000000000000002
A vs B	5	BGC0000232	0.40000000000000002
A vs B	5	BGC0000233	0.40000000000000002
A vs B	5	BGC0000234	0.20000000000000001
A vs B	5	BGC0000235	0
A vs B	5	BGC0000236	0
A vs B	5	BGC0000237	0
A vs B	5	BGC0000238	0.40000000000000002
A vs B	5	BGC0000239	0.40000000000000002
A vs B	5	BGC0000240	0.59999999999999998
A vs B	5	BGC0000241	0.80000000000000004
A vs B	5	BGC0000242	0
A vs B	5	BGC0000243	0.40000000000000002
A vs B	5	BGC0000244	0
A vs B	5	BGC0000245	0.40000000000000002
A vs B	5	BGC0000247	0.40000000000000002
A vs B	5	BGC0000248	0.20000000000000001
A vs B	5	BGC0000249	0
A vs B	5	BGC0000252	0
A vs B	5	BGC0000253	0.40000000000000002
A vs B	5	BGC0000254	0.20000000000000001
A vs B	5	BGC0000255	0.59999999999999998
A vs B	5	BGC0000256	0
A vs B	5	BGC0000257	0.40000000000000002
A vs B	5	BGC0000258	0.20000000000000001
A vs B	5	BGC0000259	0
A vs B	5	BGC0000260	0.40000000000000002
A vs B	5	BGC0000261	0
A vs B	5	BGC0000262	0.40000000000000002
A vs B	5	BGC0000263	0.40000000000000002
A vs B	5	BGC0000264	0.20000000000000001
A vs B	5	BGC0000265	0
A vs B	5	BGC0000266	0
A vs B	5	BGC0000267	0.80000000000000004
A vs B	5	BGC0000268	0.80000000000000004
A vs B	5	BGC0000269	0
A vs B	5	BGC0000270	0
A vs B	5	BGC0000271	0
A vs B	5	BGC0000272	0.20000000000000001
A vs B	5	BGC0000273	0.40000000000000002
A vs B	5	BGC0000274	0.20000000000000001
A vs B	5	BGC0000275	0.40000000000000002
A vs B	5	BGC0000277	0.20000000000000001
A vs B	5	BGC0000278	0
A vs B	5	BGC0000279	0.59999999999999998
A vs B	5	BGC0000280	0.20000000000000001
A vs B	5	BGC0000281	0.80000000000000004
A vs B	5	BGC0000282	0
A vs B	5	BGC0000283	0.80000000000000004
A vs B	5	BGC0000284	0.40000000000000002
A vs B	5	BGC0000285	0
A vs B	5	BGC0000286	0
A vs B	5	BGC0000287	0.59999999999999998
A vs B	5	BGC0000288	0.59999999999999998
A vs B	5	BGC0000289	0.59999999999999998
A vs B	5	BGC0000290	0.20000000000000001
A vs B	5	BGC0000291	0.59999999999999998
A vs B	5	BGC0000292	0.80000000000000004
A vs B	5	BGC0000293	0.20000000000000001
A vs B	5	BGC0000294	0
A vs B	5	BGC0000295	0
A vs B	5	BGC0000296	0.20000000000000001
A vs B	5	BGC0000297	0
A vs B	5	BGC0000298	0
A vs B	5	BGC0000300	0.20000000000000001
A vs B	5	BGC0000301	0
A vs B	5	BGC0000302	0
A vs B	5	BGC0000303	0
A vs B	5	BGC0000304	0.20000000000000001
A vs B	5	BGC0000305	0
A vs B	5	BGC0000306	0
A vs B	5	BGC0000307	0.80000000000000004
A vs B	5	BGC0000308	0
A vs B	5	BGC0000309	0
A vs B	5	BGC0000310	0
A vs B	5	BGC0000311	0.20000000000000001
A vs B	5	BGC0000312	0.59999999999999998
A vs B	5	BGC0000313	0
A vs B	5	BGC0000314	0
A vs B	5	BGC0000315	0.59999999999999998
A vs B	5	BGC0000316	0
A vs B	5	BGC0000319	0.40000000000000002
A vs B	5	BGC0000320	0
A vs B	5	BGC0000321	0
A vs B	5	BGC0000322	0
A vs B	5	BGC0000323	0.20000000000000001
A vs B	5	BGC0000324	0
A vs B	5	BGC0000325	0
A vs B	5	BGC0000326	0
A vs B	5	BGC0000327	0.20000000000000001
A vs B	5	BGC0000328	0.40000000000000002
A vs B	5	BGC0000329	0
A vs B	5	BGC0000330	0.20000000000000001
A vs B	5	BGC0000331	0.20000000000000001
A vs B	5	BGC0000332	0.20000000000000001
A vs B	5	BGC0000333	0.40000000000000002
A vs B	5	BGC0000334	0.20000000000000001
A vs B	5	BGC0000335	0.20000000000000001
A vs B	5	BGC0000336	0.20000000000000001
A vs B	5	BGC0000337	0.80000000000000004
A vs B	5	BGC0000339	0
A vs B	5	BGC0000340	0
A vs B	5	BGC0000341	0.40000000000000002
A vs B	5	BGC0000342	0.20000000000000001
A vs B	5	BGC0000343	0
A vs B	5	BGC0000344	0.40000000000000002
A vs B	5	BGC0000345	0.40000000000000002
A vs B	5	BGC0000346	0.40000000000000002
A vs B	5	BGC0000347	0.20000000000000001
A vs B	5	BGC0000348	0.40000000000000002
A vs B	5	BGC0000349	0
A vs B	5	BGC0000350	0
A vs B	5	BGC0000351	0
A vs B	5	BGC0000352	0
A vs B	5	BGC0000353	0
A vs B	5	BGC0000354	0.20000000000000001
A vs B	5	BGC0000355	0.20000000000000001
A vs B	5	BGC0000356	0.40000000000000002
A vs B	5	BGC0000357	0.59999999999999998
A vs B	5	BGC0000359	0.20000000000000001
A vs B	5	BGC0000360	0
A vs B	5	BGC0000362	0.20000000000000001
A vs B	5	BGC0000363	0.40000000000000002
A vs B	5	BGC0000364	0.20000000000000001
A vs B	5	BGC0000365	0.40000000000000002
A vs B	5	BGC0000366	0
A vs B	5	BGC0000367	0
A vs B	5	BGC0000368	0.40000000000000002
A vs B	5	BGC0000369	0.20000000000000001
A vs B	5	BGC0000371	0.20000000000000001
A vs B	5	BGC0000372	0.59999999999999998
A vs B	5	BGC0000373	0
A vs B	5	BGC0000374	0.59999999999999998
A vs B	5	BGC0000375	0
A vs B	5	BGC0000376	0.20000000000000001
A vs B	5	BGC0000377	0
A vs B	5	BGC0000378	0.40000000000000002
A vs B	5	BGC0000379	0.40000000000000002
A vs B	5	BGC0000380	0.20000000000000001
A vs B	5	BGC0000381	0.20000000000000001
A vs B	5	BGC0000382	0
A vs B	5	BGC0000383	0.40000000000000002
A vs B	5	BGC0000384	0.20000000000000001
A vs B	5	BGC0000385	0.20000000000000001
A vs B	5	BGC0000386	0.40000000000000002
A vs B	5	BGC0000387	0.20000000000000001
A vs B	5	BGC0000388	0.40000000000000002
A vs B	5	BGC0000391	0.40000000000000002
A vs B	5	BGC0000392	0
A vs B	5	BGC0000393	0
A vs B	5	BGC0000394	0.20000000000000001
A vs B	5	BGC0000395	0
A vs B	5	BGC0000396	0
A vs B	5	BGC0000397	0.20000000000000001
A vs B	5	BGC0000398	0
A vs B	5	BGC0000399	0.40000000000000002
A vs B	5	BGC0000400	0.20000000000000001
A vs B	5	BGC0000401	0.20000000000000001
A vs B	5	BGC0000402	0
A vs B	5	BGC0000403	0
A vs B	5	BGC0000404	0.40000000000000002
A vs B	5	BGC0000405	0.40000000000000002
A vs B	5	BGC0000406	0
A vs B	5	BGC0000407	0
A vs B	5	BGC0000408	0
A vs B	5	BGC0000409	0.20000000000000001
A vs B	5	BGC0000410	0
A vs B	5	BGC0000411	0.40000000000000002
A vs B	5	BGC0000412	0
A vs B	5	BGC0000413	0.20000000000000001
A vs B	5	BGC0000414	0.20000000000000001
A vs B	5	BGC0000415	0.20000000000000001
A vs B	5	BGC0000416	0.20000000000000001
A vs B	5	BGC0000417	0.59999999999999998
A vs B	5	BGC0000418	0.80000000000000004
A vs B	5	BGC0000419	0.80000000000000004
A vs B	5	BGC0000420	0
A vs B	5	BGC0000421	0
A vs B	5	BGC0000422	0.20000000000000001
A vs B	5	BGC0000423	0
A vs B	5	BGC0000424	0.20000000000000001
A vs B	5	BGC0000425	0
A vs B	5	BGC0000426	0
A vs B	5	BGC0000427	0.20000000000000001
A vs B	5	BGC0000428	0
A vs B	5	BGC0000429	0.40000000000000002
A vs B	5	BGC0000430	0.59999999999999998
A vs B	5	BGC0000431	0.20000000000000001
A vs B	5	BGC0000432	0.20000000000000001
A vs B	5	BGC0000433	0.20000000000000001
A vs B	5	BGC0000434	0
A vs B	5	BGC0000435	0
A vs B	5	BGC0000436	0.20000000000000001
A vs B	5	BGC0000437	0.40000000000000002
A vs B	5	BGC0000438	0
A vs B	5	BGC0000439	0.40000000000000002
A vs B	5	BGC0000440	0.40000000000000002
A vs B	5	BGC0000441	0.80000000000000004
A vs B	5	BGC0000442	0.59999999999999998
A vs B	5	BGC0000443	0
A vs B	5	BGC0000444	0.40000000000000002
A vs B	5	BGC0000445	0.20000000000000001
A vs B	5	BGC0000446	0.20000000000000001
A vs B	5	BGC0000447	0.20000000000000001
A vs B	5	BGC0000448	0.20000000000000001
A vs B	5	BGC0000449	0
A vs B	5	BGC0000450	0.20000000000000001
A vs B	5	BGC0000451	0
A vs B	5	BGC0000452	0.20000000000000001
A vs B	5	BGC0000453	0.20000000000000001
A vs B	5	BGC0000454	0.40000000000000002
A vs B	5	BGC0000455	0.80000000000000004
A vs B	5	BGC0000457	0.40000000000000002
A vs B	5	BGC0000458	0.20000000000000001
A vs B	5	BGC0000459	0
A vs B	5	BGC0000460	0.20000000000000001
A vs B	5	BGC0000461	0.40000000000000002
A vs B	5	BGC0000464	0
A vs B	5	BGC0000465	0
A vs B	5	BGC0000466	0.20000000000000001
A vs B	5	BGC0000467	0.40000000000000002
A vs B	5	BGC0000468	0.20000000000000001
A vs B	5	BGC0000469	0
A vs B	5	BGC0000470	0
A vs B	5	BGC0000471	0
A vs B	5	BGC0000472	0.40000000000000002
A vs B	5	BGC0000473	0.40000000000000002
A vs B	5	BGC0000474	0
A vs B	5	BGC0000475	0.20000000000000001
A vs B	5	BGC0000476	0
A vs B	5	BGC0000477	0
A vs B	5	BGC0000478	0
A vs B	5	BGC0000479	0
A vs B	5	BGC0000480	0
A vs B	5	BGC0000481	0
A vs B	5	BGC0000482	0
A vs B	5	BGC0000483	0
A vs B	5	BGC0000484	0
A vs B	5	BGC0000485	0
A vs B	5	BGC0000486	0
A vs B	5	BGC0000487	0.20000000000000001
A vs B	5	BGC0000488	0
A vs B	5	BGC0000489	0
A vs B	5	BGC0000490	0
A vs B	5	BGC0000491	0
A vs B	5	BGC0000492	0
A vs B	5	BGC0000493	0
A vs B	5	BGC0000494	0.20000000000000001
A vs B	5	BGC0000495	0.40000000000000002
A vs B	5	BGC0000496	0
A vs B	5	BGC0000497	0.20000000000000001
A vs B	5	BGC0000498	0.40000000000000002
A vs B	5	BGC0000499	0.20000000000000001
A vs B	5	BGC0000500	0
A vs B	5	BGC0000501	0.20000000000000001
A vs B	5	BGC0000502	0.20000000000000001
A vs B	5	BGC0000503	0
A vs B	5	BGC0000504	0
A vs B	5	BGC0000505	0
A vs B	5	BGC0000506	0.20000000000000001
A vs B	5	BGC0000507	0
A vs B	5	BGC0000508	0
A vs B	5	BGC0000509	0.40000000000000002
A vs B	5	BGC0000510	0
A vs B	5	BGC0000511	0.20000000000000001
A vs B	5	BGC0000513	0
A vs B	5	BGC0000514	0.20000000000000001
A vs B	5	BGC0000515	0.20000000000000001
A vs B	5	BGC0000516	0.20000000000000001
A vs B	5	BGC0000517	0.20000000000000001
A vs B	5	BGC0000518	0.20000000000000001
A vs B	5	BGC0000519	0
A vs B	5	BGC0000520	0.59999999999999998
A vs B	5	BGC0000521	0
A vs B	5	BGC0000522	0.20000000000000001
A vs B	5	BGC0000523	0
A vs B	5	BGC0000525	0
A vs B	5	BGC0000526	0.20000000000000001
A vs B	5	BGC0000527	0
A vs B	5	BGC0000528	0.20000000000000001
A vs B	5	BGC0000529	0.59999999999999998
A vs B	5	BGC0000530	0
A vs B	5	BGC0000531	0.40000000000000002
A vs B	5	BGC0000532	0
A vs B	5	BGC0000533	0.20000000000000001
A vs B	5	BGC0000534	0.20000000000000001
A vs B	5	BGC0000535	0.20000000000000001
A vs B	5	BGC0000536	0
A vs B	5	BGC0000537	0
A vs B	5	BGC0000538	0
A vs B	5	BGC0000539	0
A vs B	5	BGC0000540	0.20000000000000001
A vs B	5	BGC0000541	0.40000000000000002
A vs B	5	BGC0000542	0.40000000000000002
A vs B	5	BGC0000543	0.20000000000000001
A vs B	5	BGC0000544	0.20000000000000001
A vs B	5	BGC0000545	0
A vs B	5	BGC0000546	0.20000000000000001
A vs B	5	BGC0000547	0.20000000000000001
A vs B	5	BGC0000548	0.20000000000000001
A vs B	5	BGC0000549	0.20000000000000001
A vs B	5	BGC0000550	0
A vs B	5	BGC0000551	0
A vs B	5	BGC0000552	0.20000000000000001
A vs B	5	BGC0000553	0
A vs B	5	BGC0000554	0
A vs B	5	BGC0000555	0.20000000000000001
A vs B	5	BGC0000556	0.20000000000000001
A vs B	5	BGC0000557	0.20000000000000001
A vs B	5	BGC0000558	0.20000000000000001
A vs B	5	BGC0000559	0
A vs B	5	BGC0000560	0
A vs B	5	BGC0000561	0
A vs B	5	BGC0000562	0
A vs B	5	BGC0000563	0
A vs B	5	BGC0000564	0
A vs B	5	BGC0000565	0.20000000000000001
A vs B	5	BGC0000566	0.40000000000000002
A vs B	5	BGC0000567	0
A vs B	5	BGC0000568	0.20000000000000001
A vs B	5	BGC0000569	0
A vs B	5	BGC0000570	0.20000000000000001
A vs B	5	BGC0000571	0
A vs B	5	BGC0000572	0
A vs B	5	BGC0000573	0.40000000000000002
A vs B	5	BGC0000574	0
A vs B	5	BGC0000575	0.40000000000000002
A vs B	5	BGC0000576	0.20000000000000001
A vs B	5	BGC0000577	0.20000000000000001
A vs B	5	BGC0000578	0
A vs B	5	BGC0000579	0.20000000000000001
A vs B	5	BGC0000580	0.20000000000000001
A vs B	5	BGC0000581	0
A vs B	5	BGC0000582	0
A vs B	5	BGC0000583	0.20000000000000001
A vs B	5	BGC0000584	0.20000000000000001
A vs B	5	BGC0000585	0.20000000000000001
A vs B	5	BGC0000586	0.20000000000000001
A vs B	5	BGC0000587	0.20000000000000001
A vs B	5	BGC0000588	0.20000000000000001
A vs B	5	BGC0000589	0
A vs B	5	BGC0000590	0.20000000000000001
A vs B	5	BGC0000591	0
A vs B	5	BGC0000592	0
A vs B	5	BGC0000593	0.20000000000000001
A vs B	5	BGC0000594	0
A vs B	5	BGC0000595	0
A vs B	5	BGC0000596	0
A vs B	5	BGC0000597	0
A vs B	5	BGC0000598	0
A vs B	5	BGC0000599	0
A vs B	5	BGC0000600	0
A vs B	5	BGC0000601	0
A vs B	5	BGC0000602	0
A vs B	5	BGC0000603	0.59999999999999998
A vs B	5	BGC0000604	0.20000000000000001
A vs B	5	BGC0000605	0
A vs B	5	BGC0000606	0
A vs B	5	BGC0000607	0
A vs B	5	BGC0000608	0
A vs B	5	BGC0000609	0.20000000000000001
A vs B	5	BGC0000610	0.20000000000000001
A vs B	5	BGC0000611	0
A vs B	5	BGC0000612	0.40000000000000002
A vs B	5	BGC0000613	0.40000000000000002
A vs B	5	BGC0000614	0
A vs B	5	BGC0000615	0.80000000000000004
A vs B	5	BGC0000616	0.20000000000000001
A vs B	5	BGC0000617	0.20000000000000001
A vs B	5	BGC0000618	0
A vs B	5	BGC0000619	0
A vs B	5	BGC0000620	0.20000000000000001
A vs B	5	BGC0000621	0
A vs B	5	BGC0000622	0
A vs B	5	BGC0000623	0
A vs B	5	BGC0000624	0.20000000000000001
A vs B	5	BGC0000625	0
A vs B	5	BGC0000626	0
A vs B	5	BGC0000627	0
A vs B	5	BGC0000628	0
A vs B	5	BGC0000630	0.40000000000000002
A vs B	5	BGC0000631	0.59999999999999998
A vs B	5	BGC0000632	0.20000000000000001
A vs B	5	BGC0000633	0.20000000000000001
A vs B	5	BGC0000634	0
A vs B	5	BGC0000635	0.20000000000000001
A vs B	5	BGC0000636	0.20000000000000001
A vs B	5	BGC0000637	0.20000000000000001
A vs B	5	BGC0000638	0.20000000000000001
A vs B	5	BGC0000639	0
A vs B	5	BGC0000640	0.59999999999999998
A vs B	5	BGC0000641	0.20000000000000001
A vs B	5	BGC0000642	0
A vs B	5	BGC0000643	0.40000000000000002
A vs B	5	BGC0000644	0.40000000000000002
A vs B	5	BGC0000645	0.40000000000000002
A vs B	5	BGC0000646	0.20000000000000001
A vs B	5	BGC0000647	0.40000000000000002
A vs B	5	BGC0000648	0
A vs B	5	BGC0000649	0
A vs B	5	BGC0000650	0
A vs B	5	BGC0000651	0.20000000000000001
A vs B	5	BGC0000652	0.20000000000000001
A vs B	5	BGC0000653	0
A vs B	5	BGC0000654	0
A vs B	5	BGC0000656	0
A vs B	5	BGC0000657	0.20000000000000001
A vs B	5	BGC0000658	0.20000000000000001
A vs B	5	BGC0000659	0
A vs B	5	BGC0000660	0
A vs B	5	BGC0000661	0.40000000000000002
A vs B	5	BGC0000662	0
A vs B	5	BGC0000663	0.20000000000000001
A vs B	5	BGC0000664	0.20000000000000001
A vs B	5	BGC0000665	0.20000000000000001
A vs B	5	BGC0000666	0
A vs B	5	BGC0000667	0.59999999999999998
A vs B	5	BGC0000668	0.40000000000000002
A vs B	5	BGC0000669	0.20000000000000001
A vs B	5	BGC0000670	0
A vs B	5	BGC0000671	0.80000000000000004
A vs B	5	BGC0000672	0.80000000000000004
A vs B	5	BGC0000673	0.40000000000000002
A vs B	5	BGC0000674	0.20000000000000001
A vs B	5	BGC0000675	0
A vs B	5	BGC0000676	0.40000000000000002
A vs B	5	BGC0000677	0.40000000000000002
A vs B	5	BGC0000678	0.20000000000000001
A vs B	5	BGC0000679	0
A vs B	5	BGC0000682	0.59999999999999998
A vs B	5	BGC0000683	0
A vs B	5	BGC0000684	0.20000000000000001
A vs B	5	BGC0000685	0.40000000000000002
A vs B	5	BGC0000686	0.40000000000000002
A vs B	5	BGC0000687	0.59999999999999998
A vs B	5	BGC0000688	0.20000000000000001
A vs B	5	BGC0000689	0
A vs B	5	BGC0000690	0.80000000000000004
A vs B	5	BGC0000691	0.40000000000000002
A vs B	5	BGC0000692	0.40000000000000002
A vs B	5	BGC0000693	0
A vs B	5	BGC0000694	0.40000000000000002
A vs B	5	BGC0000695	0
A vs B	5	BGC0000696	0.40000000000000002
A vs B	5	BGC0000698	0.20000000000000001
A vs B	5	BGC0000699	0.20000000000000001
A vs B	5	BGC0000700	0.20000000000000001
A vs B	5	BGC0000701	0.20000000000000001
A vs B	5	BGC0000702	0.40000000000000002
A vs B	5	BGC0000703	0.59999999999999998
A vs B	5	BGC0000704	0.20000000000000001
A vs B	5	BGC0000705	0
A vs B	5	BGC0000706	0
A vs B	5	BGC0000707	0
A vs B	5	BGC0000708	0
A vs B	5	BGC0000709	0.40000000000000002
A vs B	5	BGC0000711	0.20000000000000001
A vs B	5	BGC0000712	0.59999999999999998
A vs B	5	BGC0000713	0.40000000000000002
A vs B	5	BGC0000714	0.40000000000000002
A vs B	5	BGC0000715	0.20000000000000001
A vs B	5	BGC0000716	0
A vs B	5	BGC0000719	0
A vs B	5	BGC0000720	0
A vs B	5	BGC0000721	0.40000000000000002
A vs B	5	BGC0000722	0.20000000000000001
A vs B	5	BGC0000723	0.20000000000000001
A vs B	5	BGC0000724	0.20000000000000001
A vs B	5	BGC0000725	0.20000000000000001
A vs B	5	BGC0000727	0
A vs B	5	BGC0000728	0
A vs B	5	BGC0000729	0.40000000000000002
A vs B	5	BGC0000730	0
A vs B	5	BGC0000731	0
A vs B	5	BGC0000732	0.20000000000000001
A vs B	5	BGC0000733	0
A vs B	5	BGC0000734	0
A vs B	5	BGC0000735	0
A vs B	5	BGC0000736	0.20000000000000001
A vs B	5	BGC0000737	0.20000000000000001
