edge_id	source	target	interaction	edge_type	evidence	is_direct_alignment	cluster_representative	cluster_size	cluster_visibility_in_original_network	raw_m8_query	raw_m8_target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
A0A1V0SL47__direct_alignment__A0A2P1GMZ2	A0A1V0SL47	A0A2P1GMZ2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A1V0SL47	2	visible	A0A1V0SL47	A0A2P1GMZ2	0.238	42	12	4	90	131	150	171	3.123E+00	24
A0A1X9VNW5__direct_alignment__A0A5Q2W870	A0A1X9VNW5	A0A5Q2W870	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A1X9VNW5	2	visible	A0A1X9VNW5	A0A5Q2W870	0.378	66	17	4	5	67	30	74	7.554E-09	50
A0A1Z1NED9__cluster_membership__U3PZA2	A0A1Z1NED9	U3PZA2	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A1Z1NED9	2	absent												
A0A290U429__cluster_membership__A0A142K981	A0A290U429	A0A142K981	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A290U429	6	visible												
A0A290U429__direct_alignment__A0A345MUS1	A0A290U429	A0A345MUS1	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A290U429	6	visible	A0A290U429	A0A345MUS1	0.357	28	9	2	99	126	32	50	5.800E+00	23
A0A290U429__direct_alignment__A0A290U5F9	A0A290U429	A0A290U5F9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A290U429	6	visible	A0A290U429	A0A290U5F9	0.912	148	13	0	1	148	30	177	3.228E-104	337
A0A290U429__cluster_membership__A0A889IPU6	A0A290U429	A0A889IPU6	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A290U429	6	visible												
A0A290U429__direct_alignment__S4VR21	A0A290U429	S4VR21	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A290U429	6	visible	A0A290U429	S4VR21	0.346	26	13	3	96	118	23	47	6.415E-02	30
A0A2D0ZP19__direct_alignment__Q99CX4	A0A2D0ZP19	Q99CX4	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2D0ZP19	2	visible	A0A2D0ZP19	Q99CX4	0.544	79	19	7	30	100	50	119	1.399E-21	91
A0A2H5BQC2__cluster_membership__A0A1S5YGY0	A0A2H5BQC2	A0A1S5YGY0	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2H5BQC2	3	visible												
A0A2H5BQC2__direct_alignment__A0A811BNL2	A0A2H5BQC2	A0A811BNL2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2H5BQC2	3	visible	A0A2H5BQC2	A0A811BNL2	0.666	9	3	0	10	18	159	167	9.976E+00	23
A0A2I7QK01__cluster_membership__A0A076VCT3	A0A2I7QK01	A0A076VCT3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A0B5JBH2	A0A2I7QK01	A0A0B5JBH2	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A0F7L858	A0A2I7QK01	A0A0F7L858	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A0K1TPB3	A0A2I7QK01	A0A0K1TPB3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A0K1Y7M9	A0A2I7QK01	A0A0K1Y7M9	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A1B0Z7V2	A0A2I7QK01	A0A1B0Z7V2	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__direct_alignment__A0A1L5JGR3	A0A2I7QK01	A0A1L5JGR3	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2I7QK01	43	visible	A0A2I7QK01	A0A1L5JGR3	0.272	55	24	5	188	237	246	289	1.740E+00	26
A0A2I7QK01__cluster_membership__A0A1S5VF16	A0A2I7QK01	A0A1S5VF16	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__direct_alignment__A0A1V0SAR4	A0A2I7QK01	A0A1V0SAR4	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2I7QK01	43	visible	A0A2I7QK01	A0A1V0SAR4	0.232	43	16	4	3	41	73	102	6.210E+00	25
A0A2I7QK01__cluster_membership__A0A2I2L4Z0	A0A2I7QK01	A0A2I2L4Z0	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A2I7RRQ0	A0A2I7QK01	A0A2I7RRQ0	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A2L1GIG5	A0A2I7QK01	A0A2L1GIG5	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A2U8T517	A0A2I7QK01	A0A2U8T517	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A2Z5U7F7	A0A2I7QK01	A0A2Z5U7F7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A345MWJ6	A0A2I7QK01	A0A345MWJ6	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A345MZB9	A0A2I7QK01	A0A345MZB9	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A385E3E0	A0A2I7QK01	A0A385E3E0	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A3G5A3Z7	A0A2I7QK01	A0A3G5A3Z7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A3G5A4B0	A0A2I7QK01	A0A3G5A4B0	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A3G5AHX4	A0A2I7QK01	A0A3G5AHX4	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__direct_alignment__A0A5B9N6V1	A0A2I7QK01	A0A5B9N6V1	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2I7QK01	43	visible	A0A2I7QK01	A0A5B9N6V1	0.363	33	15	3	227	254	36	67	1.740E+00	26
A0A2I7QK01__cluster_membership__A0A5J6VJS6	A0A2I7QK01	A0A5J6VJS6	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A5K0U6V2	A0A2I7QK01	A0A5K0U6V2	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__direct_alignment__A0A6J7WTY5	A0A2I7QK01	A0A6J7WTY5	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2I7QK01	43	visible	A0A2I7QK01	A0A6J7WTY5	0.211	52	34	3	10	61	43	87	8.536E+00	24
A0A2I7QK01__cluster_membership__A0A6N1NLJ7	A0A2I7QK01	A0A6N1NLJ7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A858NI11	A0A2I7QK01	A0A858NI11	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A873WEF3	A0A2I7QK01	A0A873WEF3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__direct_alignment__A0A8S5MF86	A0A2I7QK01	A0A8S5MF86	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2I7QK01	43	visible	A0A2I7QK01	A0A8S5MF86	0.177	45	33	3	62	106	82	122	2.392E+00	26
A0A2I7QK01__cluster_membership__A0A8S5RSR1	A0A2I7QK01	A0A8S5RSR1	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A0A8S5TPC3	A0A2I7QK01	A0A8S5TPC3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__A7J7N2	A0A2I7QK01	A7J7N2	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__B8XB50	A0A2I7QK01	B8XB50	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__I6TKB7	A0A2I7QK01	I6TKB7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__J2YW80	A0A2I7QK01	J2YW80	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__M1HHN7	A0A2I7QK01	M1HHN7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__M1HWL9	A0A2I7QK01	M1HWL9	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__direct_alignment__M1HX01	A0A2I7QK01	M1HX01	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2I7QK01	43	visible	A0A2I7QK01	M1HX01	0.428	21	5	3	196	211	142	160	3.288E+00	25
A0A2I7QK01__cluster_membership__O70647	A0A2I7QK01	O70647	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__Q0GGW6	A0A2I7QK01	Q0GGW6	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__Q65548	A0A2I7QK01	Q65548	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__cluster_membership__UPI001E7F0AC8	A0A2I7QK01	UPI001E7F0AC8	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7QK01	43	visible												
A0A2I7QK01__direct_alignment__V5LNT2	A0A2I7QK01	V5LNT2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2I7QK01	43	visible	A0A2I7QK01	V5LNT2	0.250	60	25	6	3	55	770	816	1.266E+00	27
A0A2I7RBG1__cluster_membership__A0A218MKF4	A0A2I7RBG1	A0A218MKF4	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7RBG1	3	absent												
A0A2I7RBG1__cluster_membership__G3MBB4	A0A2I7RBG1	G3MBB4	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2I7RBG1	3	absent												
A0A2P0VNQ4__direct_alignment__A0A2I7SAM5	A0A2P0VNQ4	A0A2I7SAM5	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2P0VNQ4	7	visible	A0A2P0VNQ4	A0A2I7SAM5	0.409	22	3	1	42	53	13	34	8.892E+00	23
A0A2P0VNQ4__cluster_membership__A0A345MND3	A0A2P0VNQ4	A0A345MND3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2P0VNQ4	7	visible												
A0A2P0VNQ4__cluster_membership__A0A481YXU7	A0A2P0VNQ4	A0A481YXU7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2P0VNQ4	7	visible												
A0A2P0VNQ4__cluster_membership__F2Y1H0	A0A2P0VNQ4	F2Y1H0	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2P0VNQ4	7	visible												
A0A2P0VNQ4__cluster_membership__A0A8S5PZ39	A0A2P0VNQ4	A0A8S5PZ39	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2P0VNQ4	7	visible												
A0A2P0VNQ4__direct_alignment__A0A8S5VQY2	A0A2P0VNQ4	A0A8S5VQY2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2P0VNQ4	7	visible	A0A2P0VNQ4	A0A8S5VQY2	0.285	70	17	7	103	149	16	75	1.296E+00	25
A0A2P1GNG2__direct_alignment__A0A2P1GNA7	A0A2P1GNG2	A0A2P1GNA7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2P1GNG2	7	visible	A0A2P1GNG2	A0A2P1GNA7	0.221	194	77	17	224	386	199	349	1.736E-03	37
A0A2P1GNG2__direct_alignment__A0A514TRU7	A0A2P1GNG2	A0A514TRU7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2P1GNG2	7	visible	A0A2P1GNG2	A0A514TRU7	0.215	227	73	21	110	289	53	221	4.808E+00	26
A0A2P1GNG2__cluster_membership__A0A345MRS9	A0A2P1GNG2	A0A345MRS9	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2P1GNG2	7	visible												
A0A2P1GNG2__cluster_membership__A0A8K1U255	A0A2P1GNG2	A0A8K1U255	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2P1GNG2	7	visible												
A0A2P1GNG2__direct_alignment__A0A3G4ZZF8	A0A2P1GNG2	A0A3G4ZZF8	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2P1GNG2	7	visible	A0A2P1GNG2	A0A3G4ZZF8	0.318	44	14	5	437	470	53	90	7.797E-02	32
A0A2P1GNG2__cluster_membership__A0A8S5LRY3	A0A2P1GNG2	A0A8S5LRY3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2P1GNG2	7	visible												
A0A2P1GNX3__direct_alignment__A0A0A1E7E7	A0A2P1GNX3	A0A0A1E7E7	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A2P1GNX3	2	visible	A0A2P1GNX3	A0A0A1E7E7	0.350	20	11	1	266	283	8	27	1.745E+00	27
A0A2S0SZ38__cluster_membership__A0A482MW97	A0A2S0SZ38	A0A482MW97	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2S0SZ38	2	absent												
A0A2S1FYN1__cluster_membership__A0A1U9IRR6	A0A2S1FYN1	A0A1U9IRR6	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2S1FYN1	3	absent												
A0A2S1FYN1__cluster_membership__UPI001E7744B2	A0A2S1FYN1	UPI001E7744B2	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A2S1FYN1	3	absent												
A0A345MUK2__cluster_membership__A0A2H4T2R0	A0A345MUK2	A0A2H4T2R0	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A345MUK2	2	absent												
A0A384WWT1__cluster_membership__A0A3G5AB61	A0A384WWT1	A0A3G5AB61	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A384WWT1	2	absent												
A0A3G4ZSK2__cluster_membership__A0A6G5Y167	A0A3G4ZSK2	A0A6G5Y167	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3G4ZSK2	2	absent												
A0A3G4ZUT7__cluster_membership__A0A5S9BZ72	A0A3G4ZUT7	A0A5S9BZ72	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3G4ZUT7	6	visible												
A0A3G4ZUT7__direct_alignment__Q7Y585	A0A3G4ZUT7	Q7Y585	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3G4ZUT7	6	visible	A0A3G4ZUT7	Q7Y585	0.264	68	25	8	18	79	75	123	2.217E-01	28
A0A3G4ZUT7__cluster_membership__A0A7G8LFL7	A0A3G4ZUT7	A0A7G8LFL7	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3G4ZUT7	6	visible												
A0A3G4ZUT7__direct_alignment__A0A516LWY9	A0A3G4ZUT7	A0A516LWY9	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3G4ZUT7	6	visible	A0A3G4ZUT7	A0A516LWY9	0.227	88	31	10	23	103	157	214	7.520E+00	23
A0A3G4ZUT7__direct_alignment__G8DGM1	A0A3G4ZUT7	G8DGM1	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3G4ZUT7	6	visible	A0A3G4ZUT7	G8DGM1	0.360	25	9	2	48	67	101	123	5.798E-01	27
A0A3G4ZXW4__cluster_membership__D6PGB3	A0A3G4ZXW4	D6PGB3	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3G4ZXW4	2	absent												
A0A3Q8Q3U2__direct_alignment__A0A7D3QUS5	A0A3Q8Q3U2	A0A7D3QUS5	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A7D3QUS5	0.269	89	26	9	28	89	286	362	1.097E-04	40
A0A3Q8Q3U2__direct_alignment__A0A386K979	A0A3Q8Q3U2	A0A386K979	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A386K979	0.202	79	37	7	172	232	23	93	2.995E+00	25
A0A3Q8Q3U2__direct_alignment__A0A6J5M302	A0A3Q8Q3U2	A0A6J5M302	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5M302	0.250	36	17	3	42	73	102	131	1.150E+00	26
A0A3Q8Q3U2__direct_alignment__A0A8S5SMU3	A0A3Q8Q3U2	A0A8S5SMU3	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A8S5SMU3	0.242	103	33	12	146	225	68	148	4.415E-01	28
A0A3Q8Q3U2__direct_alignment__E3T517	A0A3Q8Q3U2	E3T517	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	E3T517	0.235	106	29	9	146	233	54	125	4.120E+00	25
A0A3Q8Q3U2__direct_alignment__A0A6J5SCN4	A0A3Q8Q3U2	A0A6J5SCN4	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5SCN4	0.198	116	43	11	147	225	142	244	6.075E-01	27
A0A3Q8Q3U2__direct_alignment__A0A3G5A6A6	A0A3Q8Q3U2	A0A3G5A6A6	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A3G5A6A6	0.246	73	24	5	14	67	324	384	1.150E+00	26
A0A3Q8Q3U2__direct_alignment__A0A3G5A480	A0A3Q8Q3U2	A0A3G5A480	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A3G5A480	0.214	70	29	8	16	75	485	538	8.953E-02	30
A0A3Q8Q3U2__direct_alignment__A0A5Q2F0I6	A0A3Q8Q3U2	A0A5Q2F0I6	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A5Q2F0I6	0.294	68	20	8	15	59	37	99	2.498E-02	32
A0A3Q8Q3U2__cluster_membership__A0A0E3HFM5	A0A3Q8Q3U2	A0A0E3HFM5	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A1V0SAC3	A0A3Q8Q3U2	A0A1V0SAC3	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A1V0SAC3	0.221	113	33	11	13	74	272	380	2.222E-05	42
A0A3Q8Q3U2__direct_alignment__A0A218M8R0	A0A3Q8Q3U2	A0A218M8R0	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A218M8R0	0.323	34	12	3	18	51	353	375	2.177E+00	25
A0A3Q8Q3U2__direct_alignment__A0A2H4UTM2	A0A3Q8Q3U2	A0A2H4UTM2	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A2H4UTM2	0.289	38	18	3	36	71	167	197	7.799E+00	24
A0A3Q8Q3U2__cluster_membership__A0A2I2L5X1	A0A3Q8Q3U2	A0A2I2L5X1	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A6J5LLV3	A0A3Q8Q3U2	A0A6J5LLV3	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5LLV3	0.226	141	45	17	129	245	48	148	2.332E-01	29
A0A3Q8Q3U2__direct_alignment__A0A6J5LTW8	A0A3Q8Q3U2	A0A6J5LTW8	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5LTW8	0.253	67	35	9	10	71	214	270	6.967E-03	34
A0A3Q8Q3U2__direct_alignment__A0A6J5N295	A0A3Q8Q3U2	A0A6J5N295	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A6J5N295	0.382	34	11	3	25	56	76	101	3.437E-02	31
A0A3Q8Q3U2__cluster_membership__A0A6J5SK91	A0A3Q8Q3U2	A0A6J5SK91	cluster_membership	cluster_membership	same_foldseek_cluster_no_direct_rep_alignment_in_m8	0	A0A3Q8Q3U2	594	visible												
A0A3Q8Q3U2__direct_alignment__A0A7D3UT80	A0A3Q8Q3U2	A0A7D3UT80	direct_alignment	direct_alignment	alignment_present_in_m8	1	A0A3Q8Q3U2	594	visible	A0A3Q8Q3U2	A0A7D3UT80	0.203	325	104	34	15	238	103	373	3.209E-01	28
