base_BGC	label	plot_class	any_saccharide	pure_saccharide	source_row_IDs	source_row_indices	augmentation_suffixes	n_augmentations	UMAP1	UMAP2
BGC0000076	Polyketide	Polyketide	False	False	"[""BGC0000076_-1"", ""BGC0000076_0"", ""BGC0000076_1"", ""BGC0000076_2"", ""BGC0000076_3""]"	[351, 350, 352, 353, 354]	[-1, 0, 1, 2, 3]	5	-5.6813225746154785	-1.1486992835998535
BGC0000077	Polyketide	Polyketide	False	False	"[""BGC0000077_-1"", ""BGC0000077_0"", ""BGC0000077_1"", ""BGC0000077_2"", ""BGC0000077_3""]"	[356, 355, 357, 358, 359]	[-1, 0, 1, 2, 3]	5	-5.6017746925354004	-1.2406127452850342
BGC0000078	Polyketide	Polyketide	False	False	"[""BGC0000078_-1"", ""BGC0000078_0"", ""BGC0000078_1"", ""BGC0000078_2"", ""BGC0000078_3""]"	[361, 360, 362, 363, 364]	[-1, 0, 1, 2, 3]	5	-1.4587776660919189	-0.80568152666091919
BGC0000079	Polyketide	Polyketide	False	False	"[""BGC0000079_-1"", ""BGC0000079_0"", ""BGC0000079_1"", ""BGC0000079_2"", ""BGC0000079_3""]"	[366, 365, 367, 368, 369]	[-1, 0, 1, 2, 3]	5	-1.6061321496963501	-1.4905794858932495
BGC0000080	Polyketide	Polyketide	False	False	"[""BGC0000080_-1"", ""BGC0000080_0"", ""BGC0000080_1"", ""BGC0000080_2"", ""BGC0000080_3""]"	[371, 370, 372, 373, 374]	[-1, 0, 1, 2, 3]	5	-3.4222011566162109	0.84777742624282837
BGC0000081	NRP Polyketide	Hybrid	False	False	"[""BGC0000081_-1"", ""BGC0000081_0"", ""BGC0000081_1"", ""BGC0000081_2"", ""BGC0000081_3""]"	[376, 375, 377, 378, 379]	[-1, 0, 1, 2, 3]	5	-2.879392147064209	1.847153902053833
BGC0000082	Polyketide	Polyketide	False	False	"[""BGC0000082_-1"", ""BGC0000082_0"", ""BGC0000082_1"", ""BGC0000082_2"", ""BGC0000082_3""]"	[381, 380, 382, 383, 384]	[-1, 0, 1, 2, 3]	5	-1.4059398174285889	-1.4079667329788208
BGC0000083	Polyketide	Polyketide	False	False	"[""BGC0000083_-1"", ""BGC0000083_0"", ""BGC0000083_1"", ""BGC0000083_2"", ""BGC0000083_3""]"	[386, 385, 387, 388, 389]	[-1, 0, 1, 2, 3]	5	-3.2619035243988037	-1.766432523727417
BGC0000084	Polyketide	Polyketide	False	False	"[""BGC0000084_-1"", ""BGC0000084_0"", ""BGC0000084_1"", ""BGC0000084_2"", ""BGC0000084_3""]"	[391, 390, 392, 393, 394]	[-1, 0, 1, 2, 3]	5	-2.5484724044799805	-0.20030313730239868
BGC0000085	Polyketide	Polyketide	False	False	"[""BGC0000085_-1"", ""BGC0000085_0"", ""BGC0000085_1"", ""BGC0000085_2"", ""BGC0000085_3""]"	[396, 395, 397, 398, 399]	[-1, 0, 1, 2, 3]	5	-1.2082085609436035	-1.1242096424102783
BGC0000086	Polyketide	Polyketide	False	False	"[""BGC0000086_-1"", ""BGC0000086_0"", ""BGC0000086_1"", ""BGC0000086_2"", ""BGC0000086_3""]"	[401, 400, 402, 403, 404]	[-1, 0, 1, 2, 3]	5	-2.4064204692840576	-0.87074023485183716
BGC0000087	Polyketide	Polyketide	False	False	"[""BGC0000087_-1"", ""BGC0000087_0"", ""BGC0000087_1"", ""BGC0000087_2"", ""BGC0000087_3""]"	[406, 405, 407, 408, 409]	[-1, 0, 1, 2, 3]	5	-2.2035295963287354	-0.62578475475311279
BGC0000088	Polyketide	Polyketide	False	False	"[""BGC0000088_-1"", ""BGC0000088_0"", ""BGC0000088_1"", ""BGC0000088_2"", ""BGC0000088_3""]"	[411, 410, 412, 413, 414]	[-1, 0, 1, 2, 3]	5	-3.931365966796875	-0.013752263970673084
BGC0000090	Polyketide	Polyketide	False	False	"[""BGC0000090_-1"", ""BGC0000090_0"", ""BGC0000090_1"", ""BGC0000090_2"", ""BGC0000090_3""]"	[416, 415, 417, 418, 419]	[-1, 0, 1, 2, 3]	5	-2.4660670757293701	-0.61727398633956909
BGC0000091	Polyketide	Polyketide	False	False	"[""BGC0000091_-1"", ""BGC0000091_0"", ""BGC0000091_1"", ""BGC0000091_2"", ""BGC0000091_3""]"	[421, 420, 422, 423, 424]	[-1, 0, 1, 2, 3]	5	-3.4584290981292725	0.76954835653305054
BGC0000092	Polyketide	Polyketide	False	False	"[""BGC0000092_-1"", ""BGC0000092_0"", ""BGC0000092_1"", ""BGC0000092_2"", ""BGC0000092_3""]"	[426, 425, 427, 428, 429]	[-1, 0, 1, 2, 3]	5	-1.2020721435546875	-1.5135074853897095
BGC0000093	Polyketide	Polyketide	False	False	"[""BGC0000093_-1"", ""BGC0000093_0"", ""BGC0000093_1"", ""BGC0000093_2"", ""BGC0000093_3""]"	[431, 430, 432, 433, 434]	[-1, 0, 1, 2, 3]	5	-3.9946308135986328	-0.44770961999893188
BGC0000094	Polyketide Saccharide	Hybrid	True	False	"[""BGC0000094_-1"", ""BGC0000094_0"", ""BGC0000094_1"", ""BGC0000094_2"", ""BGC0000094_3""]"	[436, 435, 437, 438, 439]	[-1, 0, 1, 2, 3]	5	-0.93595391511917114	-1.8077802658081055
BGC0000096	Polyketide	Polyketide	False	False	"[""BGC0000096_-1"", ""BGC0000096_0"", ""BGC0000096_1"", ""BGC0000096_2"", ""BGC0000096_3""]"	[441, 440, 442, 443, 444]	[-1, 0, 1, 2, 3]	5	-2.7952451705932617	-0.29656031727790833
BGC0000097	Polyketide	Polyketide	False	False	"[""BGC0000097_-1"", ""BGC0000097_0"", ""BGC0000097_1"", ""BGC0000097_2"", ""BGC0000097_3""]"	[446, 445, 447, 448, 449]	[-1, 0, 1, 2, 3]	5	-1.7266992330551147	-0.79670411348342896
BGC0000098	Polyketide	Polyketide	False	False	"[""BGC0000098_-1"", ""BGC0000098_0"", ""BGC0000098_1"", ""BGC0000098_2"", ""BGC0000098_3""]"	[451, 450, 452, 453, 454]	[-1, 0, 1, 2, 3]	5	-3.501612663269043	2.0890605449676514
BGC0000099	Polyketide	Polyketide	False	False	"[""BGC0000099_-1"", ""BGC0000099_0"", ""BGC0000099_1"", ""BGC0000099_2"", ""BGC0000099_3""]"	[456, 455, 457, 458, 459]	[-1, 0, 1, 2, 3]	5	-4.0760369300842285	-0.71337515115737915
BGC0000100	Polyketide	Polyketide	False	False	"[""BGC0000100_-1"", ""BGC0000100_0"", ""BGC0000100_1"", ""BGC0000100_2"", ""BGC0000100_3""]"	[461, 460, 462, 463, 464]	[-1, 0, 1, 2, 3]	5	-2.1027426719665527	-1.3919410705566406
BGC0000102	Polyketide	Polyketide	False	False	"[""BGC0000102_-1"", ""BGC0000102_0"", ""BGC0000102_1"", ""BGC0000102_2"", ""BGC0000102_3""]"	[466, 465, 467, 468, 469]	[-1, 0, 1, 2, 3]	5	-0.99015593528747559	-1.760798454284668
BGC0000103	Polyketide	Polyketide	False	False	"[""BGC0000103_-1"", ""BGC0000103_0"", ""BGC0000103_1"", ""BGC0000103_2"", ""BGC0000103_3""]"	[471, 470, 472, 473, 474]	[-1, 0, 1, 2, 3]	5	-3.1426680088043213	-1.3684051036834717
BGC0000104	Polyketide Terpene	Hybrid	False	False	"[""BGC0000104_-1"", ""BGC0000104_0"", ""BGC0000104_1"", ""BGC0000104_2"", ""BGC0000104_3""]"	[476, 475, 477, 478, 479]	[-1, 0, 1, 2, 3]	5	-5.0456047058105469	-1.5152184963226318
BGC0000105	Polyketide	Polyketide	False	False	"[""BGC0000105_-1"", ""BGC0000105_0"", ""BGC0000105_1"", ""BGC0000105_2"", ""BGC0000105_3""]"	[481, 480, 482, 483, 484]	[-1, 0, 1, 2, 3]	5	-1.3062435388565063	-1.2448571920394897
